,id,name,accepted,submission,difficulty,link,website,upvotes,comments
89,100,Tower of Babylon,1546,3064,Difficulty: Implementation 19/50 Concept 21/50,https://www.spoj.com/problems/BABTWR,spoj,44,14
90,101,Fishmonger,876,2299,Difficulty: Implementation 17/50 Concept 21/50,https://www.spoj.com/problems/FISHER,spoj,48,16
91,102,GX Light Pipeline Inc,23,76, ,https://www.spoj.com/problems/LITEPIPE,spoj,0,0
92,104,Highways,154,772,Difficulty: Implementation 23/50 Concept 28/50,https://www.spoj.com/problems/HIGH,spoj,2,0
93,105,Alice and Bob,47,172,Difficulty: Implementation 42/50 Concept 42/50,https://www.spoj.com/problems/ALICEBOB,spoj,3,1
94,106,Binary Stirling Numbers,971,2645,Difficulty: Implementation 4/50 Concept 17/50,https://www.spoj.com/problems/BINSTIRL,spoj,3,1
95,107,Calendar of the Maya,59,133,Difficulty: Implementation 21/50 Concept 17/50,https://www.spoj.com/problems/MAYACAL,spoj,5,1
96,108,Decoding Morse Sequences,209,864,Difficulty: Implementation 24/50 Concept 17/50,https://www.spoj.com/problems/MORSE,spoj,7,2
97,109,Exchanges,57,126,Difficulty:  Concept 34/50,https://www.spoj.com/problems/EXCHNG,spoj,1,0
98,110,Fill the Cisterns,441,1408,Difficulty: Implementation 21/50 Concept 20/50,https://www.spoj.com/problems/CISTFILL,spoj,29,9
99,112,Horizontally Visible Segments,44,158,Difficulty: Implementation 17/50 Concept 34/50,https://www.spoj.com/problems/SEGVIS,spoj,1,0
100,115,Family  ,8,72,Difficulty: Implementation 28/50 Concept 28/50,https://www.spoj.com/problems/FAMILY,spoj,2,0
101,116,Intervals,229,993,Difficulty: Implementation 21/50 Concept 24/50,https://www.spoj.com/problems/INTERVAL,spoj,5,1
102,118,Rhombs,49,105,Difficulty: Implementation 1/50 Concept 34/50,https://www.spoj.com/problems/RHOMBS,spoj,0,0
103,119,Servers,21,111,Difficulty: Implementation 17/50 Concept 17/50,https://www.spoj.com/problems/SERVERS,spoj,0,0
104,120,Solitaire,83,358,Difficulty: Implementation 26/50 Concept 16/50,https://www.spoj.com/problems/SOLIT,spoj,7,2
105,121,Timetable,8,54,Difficulty: Implementation 17/50 Concept 17/50,https://www.spoj.com/problems/TTABLE,spoj,0,0
106,122,Voracious Steve,80,269,Difficulty: Implementation 23/50 Concept 23/50,https://www.spoj.com/problems/STEVE,spoj,2,0
107,123,Paying in Byteland,222,476,Difficulty: Implementation 6/50 Concept 17/50,https://www.spoj.com/problems/PAYING,spoj,2,0
108,130,Rent your airplane and make money,957,3348,Difficulty: Implementation 18/50 Concept 17/50,https://www.spoj.com/problems/RENT,spoj,88,29
109,131,Square dance,164,326,Difficulty: Implementation 1/50 Concept 1/50,https://www.spoj.com/problems/SQDANCE,spoj,0,0
110,132,Help R2-D2!,224,761,Difficulty: Implementation 19/50 Concept 16/50,https://www.spoj.com/problems/HELPR2D2,spoj,12,4
111,134,Phony Primes,34,180,Difficulty: Implementation 23/50 Concept 23/50,https://www.spoj.com/problems/PHONY,spoj,1,0
112,135,Men at work,99,261,Difficulty: Implementation 24/50 Concept 26/50,https://www.spoj.com/problems/MAWORK,spoj,1,0
113,136,Transformation,27,78,Difficulty: Implementation 17/50 Concept 17/50,https://www.spoj.com/problems/TRANS,spoj,0,0
114,137,Partition,286,781,Difficulty: Implementation 17/50 Concept 20/50,https://www.spoj.com/problems/PARTIT,spoj,17,5
115,138,Election Posters,584,2278,Difficulty: Implementation 20/50 Concept 21/50,https://www.spoj.com/problems/POSTERS,spoj,65,21
116,139,The Long and Narrow Maze,42,207,Difficulty: Implementation 17/50 Concept 17/50,https://www.spoj.com/problems/MAZE,spoj,1,0
117,140,The Loner,35,156,Difficulty: Implementation 34/50 Concept 17/50,https://www.spoj.com/problems/LONER,spoj,0,0
118,142,Johnny and the Glue,39,105,Difficulty: Implementation 17/50 Concept 17/50,https://www.spoj.com/problems/GLUE,spoj,0,0
119,145,Aliens,126,422,Difficulty: Implementation 34/50 Concept 42/50,https://www.spoj.com/problems/ALIENS,spoj,2,0
120,146,Fast Multiplication Again,4,36, ,https://www.spoj.com/problems/MULTIPLY,spoj,0,0
121,147,Tautology,280,729,Difficulty: Implementation 9/50 Concept 9/50,https://www.spoj.com/problems/TAUT,spoj,2,0
122,148,Land for Motorways,87,208,Difficulty: Implementation 17/50 Concept 17/50,https://www.spoj.com/problems/MLAND,spoj,3,1
123,149,Fencing in the Sheep,11,94,Difficulty: Implementation 34/50 Concept 17/50,https://www.spoj.com/problems/FSHEEP,spoj,3,1
124,150,Where to Drink the Plonk?,171,495, ,https://www.spoj.com/problems/PLONK,spoj,1,0
125,151,The Courier,369,1042,Difficulty: Implementation 22/50 Concept 23/50,https://www.spoj.com/problems/COURIER,spoj,38,12
126,153,Balancing the Stone,106,324,Difficulty: Implementation 17/50 Concept 23/50,https://www.spoj.com/problems/SCALES,spoj,2,0
127,154,Sweet and Sour Rock,1748,3412,Difficulty: Implementation 14/50 Concept 17/50,https://www.spoj.com/problems/ROCK,spoj,80,26
128,160,Choosing a Palindromic Sequence,31,95,Difficulty: Implementation 17/50 Concept 17/50,https://www.spoj.com/problems/PALSEC,spoj,0,0
129,174,Paint templates,24,59,Difficulty: Implementation 9/50 Concept 17/50,https://www.spoj.com/problems/PAINTTMP,spoj,1,0
130,175,Polygon,15,66, ,https://www.spoj.com/problems/POLY1,spoj,0,0
131,176,Sum of one-sequence,223,666,Difficulty: Implementation 11/50 Concept 27/50,https://www.spoj.com/problems/SUM1SEQ,spoj,5,1
132,177,AB-words,0,16,Difficulty: Implementation 50/50 Concept 50/50,https://www.spoj.com/problems/ABWORDS,spoj,1,0
133,178,Road net,1176,2372,Difficulty: Implementation 9/50 Concept 8/50,https://www.spoj.com/problems/ROADNET,spoj,12,4
134,179,Word equations,39,182,Difficulty: Implementation 9/50 Concept 9/50,https://www.spoj.com/problems/WORDEQ,spoj,0,0
135,180,How to pack containers,36,100,Difficulty: Implementation 1/50 Concept 1/50,https://www.spoj.com/problems/CONTPACK,spoj,1,0
136,181,Scuba diver,989,3811,Difficulty: Implementation 18/50 Concept 18/50,https://www.spoj.com/problems/SCUBADIV,spoj,98,32
137,182,Window,13,45,Difficulty: Implementation 17/50 Concept 34/50,https://www.spoj.com/problems/WINDOW1,spoj,1,0
138,183,Assembler circuits,17,58, ,https://www.spoj.com/problems/ASCIRC,spoj,0,0
139,184,Automatic Teller Machines,69,206,Difficulty: Implementation 1/50 Concept 1/50,https://www.spoj.com/problems/ATMS,spoj,1,0
140,185,Chase,53,216,Difficulty: Implementation 1/50 Concept 26/50,https://www.spoj.com/problems/CHASE1,spoj,2,0
141,186,The lightest language,40,157,Difficulty: Implementation 17/50 Concept 34/50,https://www.spoj.com/problems/LITELANG,spoj,1,0
142,187,Flat broken lines,39,97,Difficulty: Implementation 9/50 Concept 17/50,https://www.spoj.com/problems/FLBRKLIN,spoj,2,0
143,188,Rectangles,23,182,Difficulty: Implementation 17/50 Concept 23/50,https://www.spoj.com/problems/RECTNG1,spoj,2,0
144,196,Musketeers,150,498,Difficulty: Implementation 17/50 Concept 34/50,https://www.spoj.com/problems/MUSKET,spoj,2,0
145,199,Empty Cuboids,49,142, ,https://www.spoj.com/problems/EMPTY,spoj,-1,0
146,200,Monodigital Representations,49,165,Difficulty: Implementation 26/50 Concept 26/50,https://www.spoj.com/problems/MONODIG,spoj,1,0
147,201,The Game of Polygons,98,250,Difficulty: Implementation 1/50 Concept 17/50,https://www.spoj.com/problems/POLYGAME,spoj,1,0
148,202,Rockets,6,56,Difficulty: Implementation 34/50 Concept 34/50,https://www.spoj.com/problems/ROCKETS,spoj,-1,0
149,203,Potholers,599,2266,Difficulty: Implementation 16/50 Concept 12/50,https://www.spoj.com/problems/POTHOLE,spoj,22,7
150,204,Sleepwalker  ,24,91,Difficulty: Implementation 1/50 Concept 1/50,https://www.spoj.com/problems/SLEEP,spoj,0,0
151,205,Icerink,1,8, ,https://www.spoj.com/problems/ICERINK,spoj,0,0
152,206,Bitmap,2658,9466,Difficulty: Implementation 15/50 Concept 16/50,https://www.spoj.com/problems/BITMAP,spoj,246,82
153,207,Three-coloring of binary trees,313,875,Difficulty: Implementation 20/50 Concept 17/50,https://www.spoj.com/problems/THREECOL,spoj,16,5
154,208,Store-keeper,19,127,Difficulty: Implementation 34/50 Concept 26/50,https://www.spoj.com/problems/STORE,spoj,2,0
155,209,The Map,94,238,Difficulty: Implementation 1/50 Concept 1/50,https://www.spoj.com/problems/MAP,spoj,0,0
156,210,The Altars,7,49,Difficulty: Implementation 17/50 Concept 1/50,https://www.spoj.com/problems/ALTARS,spoj,0,0
157,211,Primitivus recurencis,69,254,Difficulty: Implementation 1/50 Concept 17/50,https://www.spoj.com/problems/PRIMIT,spoj,0,0
158,212,Water among Cubes,396,1525,Difficulty: Implementation 25/50 Concept 27/50,https://www.spoj.com/problems/WATER,spoj,52,17
159,215,Panic in the Plazas,17,83,Difficulty: Implementation 34/50 Concept 34/50,https://www.spoj.com/problems/PANIC,spoj,0,0
160,217,Soldiers on Parade,34,123,Difficulty: Implementation 17/50 Concept 12/50,https://www.spoj.com/problems/SOPARADE,spoj,2,0
161,220,Relevant Phrases of Annihilation,151,660,Difficulty: Implementation 26/50 Concept 26/50,https://www.spoj.com/problems/PHRASES,spoj,0,0
162,224,Vonny and her dominos,346,670,Difficulty: Implementation 8/50 Concept 8/50,https://www.spoj.com/problems/VONNY,spoj,6,2
163,226,Jewelry and Fashion,5,20,Difficulty: Implementation 34/50 Concept 50/50,https://www.spoj.com/problems/JEWELS,spoj,1,0
164,227,Ordering the Soldiers,483,1458,Difficulty: Implementation 21/50 Concept 23/50,https://www.spoj.com/problems/ORDERS,spoj,21,7
165,228,Shamans,28,139,Difficulty: Implementation 9/50 Concept 9/50,https://www.spoj.com/problems/SHAMAN,spoj,0,0
166,229,Sorting is easy,22,118,Difficulty: Implementation 17/50 Concept 1/50,https://www.spoj.com/problems/SORTING,spoj,1,0
167,231,The Zebra Crossing,0,12, ,https://www.spoj.com/problems/ZEBRA,spoj,0,0
168,234,Getting Rid of the Holidays (Act I),13,95,Difficulty: Implementation 17/50 Concept 17/50,https://www.spoj.com/problems/HOLIDAY1,spoj,0,0
169,235,Very Fast Multiplication,355,1282,Difficulty: Implementation 26/50 Concept 22/50,https://www.spoj.com/problems/VFMUL,spoj,24,8
170,236,Converting number formats,61,149,Difficulty: Implementation 1/50 Concept 1/50,https://www.spoj.com/problems/ROMAN,spoj,0,0
171,237,Sums in a Triangle,1516,3576,Difficulty: Implementation 28/50 Concept 10/50,https://www.spoj.com/problems/SUMITR,spoj,-13,-4
172,238,Getting Rid of the Holidays (Act II),12,81,Difficulty: Implementation 1/50 Concept 1/50,https://www.spoj.com/problems/HOLIDAY2,spoj,0,0
173,239,Tour de Byteland,20,85,Difficulty: Implementation 17/50 Concept 17/50,https://www.spoj.com/problems/BTOUR,spoj,1,0
174,241,Arranging the Blocks,6,52, ,https://www.spoj.com/problems/BLOCKS,spoj,0,0
175,243,Stable Marriage Problem,625,1543,Difficulty: Implementation 19/50 Concept 22/50,https://www.spoj.com/problems/STABLEMP,spoj,12,4
176,245,Square Root,74,575,Difficulty: Implementation 20/50 Concept 10/50,https://www.spoj.com/problems/SQRROOT,spoj,4,1
177,247,Chocolate,2557,5842,Difficulty: Implementation 10/50 Concept 18/50,https://www.spoj.com/problems/CHOCOLA,spoj,74,24
178,260,Containers,134,292,Difficulty: Implementation 17/50 Concept 14/50,https://www.spoj.com/problems/CTAIN,spoj,3,1
179,261,Triangle Partitioning,115,199, ,https://www.spoj.com/problems/TRIPART,spoj,0,0
180,262,Connections,32,111,Difficulty: Implementation 34/50 Concept 34/50,https://www.spoj.com/problems/CONNECT,spoj,1,0
181,263,Period,1145,2880,Difficulty: Implementation 12/50 Concept 17/50,https://www.spoj.com/problems/PERIOD,spoj,55,18
182,264,Corporative Network,149,597,Difficulty: Implementation 17/50 Concept 19/50,https://www.spoj.com/problems/CORNET,spoj,14,4
183,272,Cave Exploration,3,39,Difficulty: Implementation 17/50 Concept 1/50,https://www.spoj.com/problems/CAVE,spoj,0,0
184,274,Johnny and the Watermelon Plantation,51,213,Difficulty: Implementation 1/50 Concept 1/50,https://www.spoj.com/problems/WMELON,spoj,-1,0
185,275,The Water Ringroad,0,2, ,https://www.spoj.com/problems/WATERWAY,spoj,0,0
186,277,City Game,505,1295,Difficulty: Implementation 20/50 Concept 21/50,https://www.spoj.com/problems/CTGAME,spoj,16,5
187,278,Bicycle,7,57,Difficulty: Implementation 34/50 Concept 1/50,https://www.spoj.com/problems/BICYCLE,spoj,0,0
188,279,Interesting number,197,824,Difficulty: Implementation 19/50 Concept 24/50,https://www.spoj.com/problems/INUMBER,spoj,26,8
189,280,Lifts,7,43,Difficulty: Implementation 17/50 Concept 1/50,https://www.spoj.com/problems/LIFTS,spoj,0,0
190,283,Naptime,157,615,Difficulty: Implementation 17/50 Concept 1/50,https://www.spoj.com/problems/NAPTIME,spoj,0,0
191,286,Selfish Cities,273,700,Difficulty: Implementation 31/50 Concept 31/50,https://www.spoj.com/problems/SCITIES,spoj,1,0
192,287,Smart Network Administrator,106,450,Difficulty: Implementation 23/50 Concept 28/50,https://www.spoj.com/problems/NETADMIN,spoj,3,1
193,288,Prime or Not,962,5082,Difficulty: Implementation 21/50 Concept 22/50,https://www.spoj.com/problems/PON,spoj,73,24
194,290,Polynomial Equations,14,62,Difficulty: Implementation 17/50 Concept 17/50,https://www.spoj.com/problems/POLYEQ,spoj,0,0
195,291,Cube Root,41,251,Difficulty: Implementation 23/50 Concept 15/50,https://www.spoj.com/problems/CUBERT,spoj,1,0
196,292,Alibaba,40,178, ,https://www.spoj.com/problems/ALIBB,spoj,1,0
197,293,Officers on the Beat,2,11, ,https://www.spoj.com/problems/OFBEAT,spoj,0,0
198,296,Teamwork is Crucial,22,70, ,https://www.spoj.com/problems/TWORK,spoj,0,0
199,297,Aggressive cows,15624,43400,Difficulty: Implementation 16/50 Concept 23/50,https://www.spoj.com/problems/AGGRCOW,spoj,1066,355
200,300,Cable TV Network  ,236,654,Difficulty: Implementation 24/50 Concept 30/50,https://www.spoj.com/problems/CABLETV,spoj,2,0
201,301,Booklets,75,184,Difficulty: Implementation 1/50 Concept 1/50,https://www.spoj.com/problems/BOOK,spoj,-1,0
202,302,Count on Cantor,7977,13014,Difficulty: Implementation 13/50 Concept 14/50,https://www.spoj.com/problems/CANTON,spoj,155,51
203,303,The Unstable Cube,13,47,Difficulty: Implementation 17/50 Concept 1/50,https://www.spoj.com/problems/UCUBE,spoj,1,0
204,309,The Room Pattern,6,44,Difficulty: Implementation 34/50 Concept 17/50,https://www.spoj.com/problems/RATTERN,spoj,1,0
205,318,Pythagorean Legacy,6,29,Difficulty: Implementation 1/50 Concept 34/50,https://www.spoj.com/problems/PITPAIR,spoj,0,0
206,325,The Tall Windmills,20,82,Difficulty:  Concept 34/50,https://www.spoj.com/problems/WINDMILL,spoj,0,0
207,327,Platon and Socrates,6,50,Difficulty: Implementation 9/50 Concept 34/50,https://www.spoj.com/problems/PLATON,spoj,0,0
208,328,Bishops,2860,8938,Difficulty: Implementation 14/50 Concept 7/50,https://www.spoj.com/problems/BISHOPS,spoj,82,27
209,329,Calls,34,121,Difficulty: Implementation 1/50 Concept 17/50,https://www.spoj.com/problems/CALLS,spoj,2,0
210,332,Hard Question,32,102,Difficulty: Implementation 1/50 Concept 34/50,https://www.spoj.com/problems/HARDQ,spoj,0,0
211,334,The Philosophical Dispute,22,55,Difficulty: Implementation 17/50 Concept 17/50,https://www.spoj.com/problems/PHDISP,spoj,0,0
212,336,Exchange Operations,16,85,Difficulty: Implementation 1/50 Concept 17/50,https://www.spoj.com/problems/EOPERA,spoj,1,0
213,338,Roads,332,1389,Difficulty: Implementation 17/50 Concept 22/50,https://www.spoj.com/problems/ROADS,spoj,37,12
